Frame,T1Left,T2Left,T3Left,T4Left,T5Left,T6Left,T7Left,T8Left
1,17.30409061,30.76199837,43.44820549,17.16461663,18.99333104,14.51091727,16.85748831,32.0939122
2,17.82524951,30.45581508,43.85214795,17.84678795,18.94687816,14.26813625,16.80233317,32.14639016
3,18.14434568,29.23870421,43.79994813,17.81627481,18.74419633,14.32286899,16.85748831,32.76172303
4,18.6796728,28.84782806,43.83712764,17.72450868,18.82816274,14.37761148,16.80335966,34.61687912
5,18.96375322,28.67074216,43.95404291,17.03514109,18.97879575,14.36593749,16.85832542,34.51072413
6,19.16124923,28.26447098,43.95632596,16.58025621,19.26693001,14.26813625,16.97031007,34.7228902
7,19.39128877,29.12387667,43.6169545,15.97659488,19.29132945,14.36593749,17.42041102,34.78361913
8,19.66947686,30.4883873,43.3521026,15.84839575,18.92186883,14.47553964,17.86961667,34.84352221
9,19.27653081,32.13155857,42.86488166,16.15607279,18.72996999,14.24481941,17.9270861,35.01791541
10,19.63452958,33.51514619,42.71096908,16.48969424,18.51297664,14.28834266,17.42041102,35.07214325
11,19.9864306,34.18110823,42.89446472,17.00778175,18.21386549,14.28834266,17.86961667,34.84212715
12,20.4112126,34.10363218,42.95955605,17.2095936,18.12359346,14.24481941,17.69608861,34.33352647
13,20.77328284,34.2226442,42.69903605,17.856362,17.92288727,14.29964139,18.312,33.77709993
14,21.11912877,34.59028025,42.27124678,18.01816861,17.86180551,14.35447247,18.70408383,34.16899554
15,21.3121021,35.27364387,42.03138561,18.14616037,17.66309599,14.25637261,19.09673899,34.00237733
16,21.86052369,35.27951111,41.95461548,18.23984561,17.38464058,14.28834266,19.48832184,33.83586547
17,22.4,34.840507,42.33333325,18.88553817,17.35548328,14.23347716,20.21793897,33.77988514
18,23.21211821,34.82497678,42.41607243,19.34327873,17.39014158,14.29964139,21.23138658,34.34119812
19,24.0715334,34.14994606,42.21289509,19.42126505,17.26807922,14.35447247,22.06748196,34.4600722
20,24.38779104,33.68282458,42.49894568,19.55947811,17.48716009,14.34321693,23.52326644,34.81133149
21,24.8393301,32.81356305,42.58195223,19.63197392,17.73087702,14.29964139,24.54052648,34.84806703
22,25.38604215,31.73070891,42.52598114,19.49395311,17.85557168,14.35447247,25.43442077,34.75547865
23,25.38604215,31.29362977,42.44050066,19.49451615,17.64710968,14.35447247,26.82984487,34.75958389
24,25.42498676,31.31246397,42.06982995,19.54648695,17.58881463,14.35447247,27.05634654,34.75547865
25,25.4263435,30.8864242,41.82154086,19.53340687,17.90538154,14.35447247,26.82686415,34.80732245
26,25.3875245,30.77071335,41.7790401,19.52858991,18.08878017,14.42073396,26.99484632,34.81133149
27,24.56109183,30.76153962,41.85823006,18.88927399,18.41233673,14.35447247,27.83205634,34.80732245
28,24.87068379,30.30531465,41.74107924,17.49495927,18.38574752,14.36593749,28.00201593,34.81133149
29,25.73917419,30.08993134,41.70496373,16.48807763,18.62452577,14.4641615,28.11556949,34.80732245
30,25.7430727,29.69188441,41.62578355,16.07824269,18.85337954,14.36593749,28.52385163,34.80732245
31,26.22151788,29.32352721,41.50480338,15.66769517,19.09263313,14.42073396,28.71795536,34.80732245
32,26.54494513,29.40021333,41.66460215,14.79343638,19.17564622,14.35447247,28.43526487,34.80732245
33,26.97317186,28.94745032,41.30754507,15.13668709,19.55001627,14.36593749,28.43223185,34.80732245
34,27.16317507,28.72150414,41.46454949,14.96803634,19.66493244,14.34321693,28.46789068,34.95629271
35,27.03593934,28.82520786,41.14658829,14.69090385,19.61279582,14.39809987,28.47229671,34.98171682
36,26.9203364,28.07298488,41.14460665,13.87037591,19.74903339,14.4641615,28.56444671,34.91387804
37,26.85992584,28.22455555,40.58810308,13.1890403,19.99066662,14.45299139,28.05957662,35.14453995
38,27.20568529,28.75047854,40.5484086,12.31809076,20.1550994,14.71681705,27.60851115,35.20048818
39,27.46861365,28.98669488,40.31105456,11.27951772,20.50892489,14.80604417,27.49879416,35.5712864
40,26.88058333,29.16675477,40.39024991,10.52516983,20.67393799,14.81631317,27.06474844,35.52942938
41,26.65299983,29.47138002,40.68333516,10.52621261,20.71485341,14.91619683,26.64617466,35.30350328
42,25.99992615,29.44897255,40.85179849,9.305609491,20.71583742,15.47718838,26.3970956,35.14453995
43,24.99539158,28.97154466,40.63057607,8.020521679,20.76762095,15.45772454,25.60688407,35.37591407
44,24.35278974,28.60388785,40.06924247,7.946674273,20.9353886,15.03409671,24.93679434,35.52227921
45,23.84863736,28.62438233,40.000232,9.42431918,21.04795591,14.96887437,25.08106154,35.49392917
46,23.18596127,28.79973889,39.92120559,8.440409469,21.09981611,14.73949361,24.96928161,35.45043278
47,22.61464163,28.91840217,39.6420278,7.471331876,21.06850692,14.25527271,25.34196456,35.3920443
48,22.17104995,29.00264815,39.26893938,6.337656349,21.23463586,14.36615578,25.63026461,35.64772801
49,21.57417716,29.80573368,38.65562003,5.387654035,21.3594307,14.69133078,25.84538024,35.45932205
50,21.02089627,30.50437765,38.52165064,6.962266298,21.58819974,15.12725752,26.41021984,35.37019582
51,20.95664859,31.04814945,38.3153375,7.084387341,21.78579941,15.09488284,26.90821852,35.37019582
52,20.48666454,31.18853123,38.49355437,6.711828365,21.68299463,15.47647919,27.67850632,35.12610881
53,20.12302164,31.18853123,38.75770478,5.903685628,21.94428436,16.20375265,28.17250859,35.6626801
54,20.01841392,30.93273942,38.93969574,5.592154504,22.01661918,16.68659054,28.00139997,35.21883587
55,19.74379254,31.77209241,39.16518454,5.206494406,22.22586313,17.63964444,27.88940559,34.90381664
56,19.71709025,32.01305034,39.43024382,5.249682657,22.04892886,17.53023628,28.56087842,34.91046468
57,20.101192,32.61816132,39.90820267,5.129123122,21.85212996,18.03756436,28.84005437,34.65332307
58,20.09307781,32.32485706,40.23501599,5.304651544,21.72756701,19.17850797,28.73149297,34.82322076
59,20.06527747,31.9378757,40.55517526,5.327068988,21.76030588,20.75024819,28.34396726,33.57946039
60,20.16451061,31.28074986,40.71723763,5.315577109,21.74076944,21.08576619,28.69845654,33.18079155
61,20.22530534,31.1719361,40.59663986,5.315577109,21.9702781,20.79779988,28.81536035,32.63219515
62,19.99482333,31.09941736,40.39323904,5.327068988,22.04224308,20.33424697,29.00070178,32.34735674
63,19.5555496,31.02142228,40.35552879,5.315577109,22.04224308,19.65607977,29.61081748,31.92496102
64,19.36669141,30.50437765,40.42750113,5.304651544,22.16673544,18.60043182,29.64701563,31.04845246
65,19.38061217,30.09029611,40.51010738,5.359641779,21.9702781,18.11606491,29.79810464,30.86092883
66,19.61919061,29.4091719,40.5892234,5.459641014,21.77392055,18.06336403,29.70835627,30.24093332
67,19.4107665,28.41457879,40.51010738,6.348039067,21.84581461,18.24551846,29.52735085,30.17740188
68,19.4977332,28.18692009,39.98733319,7.789034343,21.72135981,18.6622048,29.39530629,30.34021912
69,19.72678991,28.19648659,40.18358033,8.067887952,21.6112119,18.59410831,29.58507083,30.32703771
70,20.42964121,27.98392338,40.32598844,8.715334532,21.46488109,19.48808046,29.61658887,30.85208687
71,19.92412006,27.66524694,40.3282436,8.884078343,21.53620505,19.82471185,29.63416083,31.40496776
72,19.88757039,27.15174307,40.28751469,9.287393606,21.3036395,19.88,29.45200733,31.69070627
73,20.26828695,27.19605854,40.05002392,10.06458822,21.20004981,19.71231818,29.41317038,31.64827502
74,20.09471652,26.99345224,39.97086059,10.09383495,21.14665591,19.64227441,29.28350252,32.0149605
75,19.54432091,27.72277158,40.09318426,10.02071455,21.37506136,19.11897738,28.74196931,31.74019534
76,19.71534063,28.338656,39.97572463,9.594321654,21.53955394,18.7065148,28.51329514,31.27187618
77,19.40163622,29.17642994,40.01661415,9.263219311,21.4199085,18.11814207,28.33954128,31.09407249
78,19.23793586,30.79541784,39.93487178,9.218933561,21.63079287,17.85170737,27.94489778,31.12637981
79,18.78464053,32.01148294,40.05754021,9.029207717,21.70294432,17.30436246,28.00139997,31.02096736
80,18.50763994,33.04688064,40.3007454,8.435392107,21.80673364,16.08165564,26.93623285,31.19602128
81,17.90687019,32.14858504,40.5001199,8.315198615,22.15053083,15.61988476,26.65652941,31.12562417
82,17.10651057,32.03126573,40.49709995,8.291404706,22.36987975,14.31728466,25.144,31.71054083
83,16.84743969,31.55544099,40.70275548,7.686905229,23.06771805,13.8202055,25.25655875,32.09146927
84,16.51316469,31.68358061,41.22573798,7.831195056,24.19206481,12.97037856,24.82625965,32.44454617
85,15.4492014,30.87855437,41.31244152,8.522677514,24.35742515,12.85379944,24.83857258,33.42407276
86,14.92691529,32.17315751,41.31646451,8.600148836,24.41009103,12.52861557,24.66060956,34.14627265
87,14.60838116,32.37676698,41.65504205,8.995803466,24.41009103,12.52010224,24.66060956,34.09406752
88,14.54491526,31.6356882,41.65504205,9.412332336,24.6158063,12.24506301,24.20657894,34.69980703
89,12.89751852,31.82869749,41.65504205,9.934753545,24.82790172,11.99982133,23.75515776,35.0870278
90,13.06673333,31.93360412,41.65504205,10.00160627,24.93553673,11.99707698,23.18569076,35.10454147
91,13.45457543,31.45809657,41.61794767,10.07019523,24.98886664,11.98609328,22.84827451,35.76826571
92,14.17629797,31.28280499,41.57599307,10.06879377,24.93553673,12.10895602,22.56827791,35.86890709
93,14.30117646,31.23660724,41.61794767,9.967528079,24.40276706,11.77612228,22.17946438,35.78789963
94,14.21264113,31.2584857,41.57599307,10.12671398,24.31464283,11.23145583,21.78464781,35.40834433
95,13.64194942,31.84908614,41.57599307,10.73346319,23.9560905,10.89124419,21.33629396,35.53794592
96,13.44583207,32.06883896,41.61312485,10.81902029,23.86901054,10.59347724,20.61073895,35.161802
97,13.24977041,32.08115808,41.58089561,10.74164084,24.57813142,10.81902029,20.44030685,35.30883266
98,13.31929127,32.12867928,41.61794767,10.67310639,28.03637637,11.312,20.44375856,35.28768805
99,12.90699779,32.24768643,41.69699231,10.86067991,27.70189308,11.66548687,19.89773856,35.15787752
100,12.73319818,32.51483649,41.61794767,11.13935582,27.624863,12.30089428,19.36288574,35.11485794
101,13.02526775,32.40503763,41.61794767,11.81865373,27.42342356,13.17571827,19.482367,34.85310615
102,13.06133224,32.70141086,41.61794767,13.3422277,26.87235725,13.18083457,19.4864712,34.39152361
103,13.45981872,33.02789609,41.61794767,14.18392781,25.82110145,13.75184875,19.3232461,33.77338597
104,14.11211111,32.90608795,41.61794767,15.08158082,25.0552286,13.42365673,18.89085112,33.23410104
105,14.65724449,32.67109303,41.45986011,15.42970227,25.05960894,13.94950895,18.3550198,33.51860809
106,15.41943501,32.43671599,41.5340716,15.46168012,24.63624517,14.14573745,18.15713105,33.19000524
107,16.3022531,32.53079476,41.49218336,15.68799796,24.02458741,14.17862053,17.76789194,33.23834701
108,17.1690009,32.58338718,41.5340716,15.98787741,23.64831664,13.59981647,17.51860451,33.43908133
109,17.92139995,32.72015354,41.4550189,15.5734379,23.51366581,13.24752173,17.69289846,33.7245558
110,19.21199958,32.66470927,41.4550189,15.35707472,24.35278974,13.22287957,16.89864373,34.00122445
111,20.06801236,33.30305451,41.41312642,15.84117167,25.37461282,12.39612843,16.20413972,34.51363186
112,20.34773697,33.19742159,41.37126732,15.9048873,26.51657655,11.2947988,16.2725054,35.26670861
113,20.28313506,32.80515179,41.65504205,16.14597609,27.53839501,10.34682405,15.80768016,35.36101808
