Frame,T1Right,T2Right,T3Right,T4Right,T5Right,T6Right,T7Right,T8Right
1,29.74401399,26.89889336,10.61831474,33.60545956,2.632595677,31.90103296,20.10797732,26.65299983
2,29.51221252,26.46170365,11.07073403,32.9083751,0,32.25196503,20.17694843,26.97904253
3,30.05703166,26.34072376,10.51563103,33.72190552,2.968528255,32.30015728,20.06910621,27.12273732
4,31.53043685,26.17351577,10.45866531,34.00933989,2.961653592,32.36877508,19.82471185,27.96828604
5,32.08604532,25.60786379,10.51026165,34.17546535,2.875696785,32.30015728,19.64770195,27.39367518
6,31.82859896,25.39863933,9.767305463,33.93770953,2.955293556,32.20774168,19.3566493,26.6844554
7,31.77056248,25.15173155,9.35401176,33.75109361,2.730825516,31.68917241,19.19893664,26.09365655
8,31.73476075,24.7894739,8.116137012,33.46270617,2.702543987,31.12637981,19.1795708,25.3476563
9,31.5558882,24.55125838,6.988117915,33.81231586,2.703124118,30.91509405,18.82508114,24.60841612
10,31.37724526,24.51194909,5.548523407,33.40868199,2.702543987,31.07636736,18.648,24.68120192
11,30.52375023,24.5127167,2.404741982,33.30460821,2.718740885,31.14375443,18.52457654,25.15017296
12,29.86202297,24.55087518,6.020976665,33.50176306,2.785401946,31.21149839,18.86169452,25.65997973
13,29.62098283,24.4727048,7.581539685,33.46607978,3.329999399,31.21149839,18.65102678,25.91451053
14,28.51329514,24.2115014,2.931320522,33.62276562,3.654187735,31.09407249,18.43523062,26.45056128
15,27.38972537,23.78108425,4.180541592,33.55610466,4.047525664,30.47881992,17.90993467,27.16432955
16,26.99414929,23.1257626,2.981178291,33.46607978,4.008989898,30.36522221,17.72291624,27.3768416
17,26.92272438,23.52773206,3.615362776,33.91515531,4.101784977,30.32827855,17.10018479,27.54112794
18,26.84363373,23.86756527,4.446625687,33.96320362,4.446625687,30.37761281,16.72441664,27.58942174
19,26.96433437,24.07146826,4.83354942,33.90928321,4.536345666,30.38256763,16.68706038,27.23972628
20,27.01040866,23.90517936,2.968528255,33.516269,4.836792325,29.95727838,16.63350835,26.92662623
21,27.21507817,23.13389755,3.962964547,33.56045006,5.288072617,30.13845915,16.6707965,27.02248072
22,27.23062981,22.68967695,3.106359928,33.75206921,5.721873819,30.45643288,16.70349616,26.96689289
23,27.32111389,22.4562793,2.800559944,33.79622038,6.169156831,31.19205027,16.86948298,26.97904253
24,27.19115739,22.54130431,2.838929376,34.08247597,6.496965445,31.86178551,16.48436835,26.93268171
25,27.9174463,22.54380837,1.869091758,34.14530832,6.832229504,32.47019852,16.06136233,26.5126735
26,27.50785895,23.76723392,3.193964308,34.3088103,7.560829584,33.7252997,15.99229014,25.97627471
27,27.2729199,24.39286978,3.16783838,34.11517058,7.561866436,34.72451584,15.89374317,25.80968252
28,27.16,22.83536906,3.857501782,33.97945073,7.56331779,35.60389102,15.83968687,25.53071875
29,27.16144326,24.0776557,7.095003312,34.26399253,7.290546207,36.03128951,15.83968687,25.28137971
30,27.21968699,24.08859382,5.093537867,34.21063788,7.505880361,36.37004922,15.89374317,25.25177792
31,27.17546776,23.98428419,6.296950373,34.07934741,7.448,36.51719595,15.83968687,25.32890586
32,27.20989232,23.92747041,8.449321866,33.30385491,7.561866436,36.84582972,15.78564411,25.08731249
33,27.20989232,23.41744307,8.435392107,32.79597341,7.56331779,36.72613892,15.82512837,25.11529765
34,27.2540557,23.65507878,8.008,32.43381544,7.409161896,36.39371023,15.82512837,24.94810999
35,27.32300774,23.68905908,6.872502892,31.98913916,7.455575095,35.53794592,15.82512837,24.91622443
36,27.48025619,24.47206407,2.466544141,32.05827594,7.357342999,33.77951379,15.89374317,24.93377597
37,27.59351344,25.07812306,9.050542525,31.80272491,7.632658253,32.17783585,15.61988476,24.79681012
38,27.56844225,25.53992952,7.897787032,32.35157369,7.800299481,31.7741651,15.66899614,24.75428044
39,27.68156527,25.93434911,8.076434857,32.36669202,8.359207618,31.87698857,15.52321616,24.74427029
40,27.73538159,26.0279542,10.97028423,32.85940474,8.738871323,31.51088701,15.05660785,24.83876197
41,27.72141411,26.215657,9.835934119,33.77844615,8.912624754,31.19803173,13.86732332,25.00918871
42,27.65345548,26.28267992,10.23130881,34.15361908,9.07822009,30.96713923,12.46776836,25.03156152
43,27.60890871,25.96570908,9.90187053,34.63757313,9.612771505,30.16783983,11.81175279,25.03901468
44,27.60890871,25.30561866,10.87179102,35.22796162,9.42465193,29.57250723,12.34403111,25.0541021
45,27.60890871,24.11546226,12.1715971,35.67006588,9.197818872,29.05455723,12.89216817,24.92100672
46,27.60890871,22.92999991,12.57920061,35.89770355,9.445425559,28.59692515,12.45027486,24.8756009
47,27.60890871,22.11964557,13.68062923,36.45647312,9.913265456,28.00817481,11.74679258,24.79035942
48,27.69804383,22.48565623,14.472398,36.98324118,10.37739081,28.06041482,11.7077506,24.86753128
49,27.876809,23.73567779,15.57857195,37.37231232,10.65546245,27.89249763,11.58658811,24.86954893
50,28.01130972,25.16070714,15.99248624,37.20545766,10.85779204,27.44914133,11.35709822,24.83705747
51,27.97787126,26.02126638,15.91996382,37.31285505,10.78985005,27.53725622,11.01720836,24.82487011
52,27.97787126,26.73787426,15.56538107,36.97174965,10.32057363,27.6684207,10.5959932,24.61249374
53,27.97787126,26.86657998,15.59677915,37.00612879,8.306897375,28.07963077,9.85615909,24.44994888
54,27.97787126,26.45251746,15.49652658,36.79545189,7.173466665,27.31801457,9.30678892,24.46181024
55,28.02283869,26.13616651,14.28274483,36.31374395,6.209690491,27.34096414,9.241527147,24.51866489
56,27.97787126,25.83002656,13.43078017,36.4294527,6.15414267,27.66297974,8.4,24.68482287
57,27.97787126,25.18443964,12.89423561,36.62459938,5.861838619,27.47141059,7.61620588,25.14799077
58,27.97787126,24.67033587,13.11703625,36.80738187,4.768228182,27.16992808,7.234627841,25.38869796
59,27.9329437,24.27514416,13.44058332,36.91262418,4.713656755,26.9877009,6.834982955,25.94347702
60,27.9329437,23.40511944,13.92059079,36.98650565,4.488741472,26.94950181,5.920394581,26.42167595
61,28.05622355,23.17459713,13.83653367,36.99816212,4.783986622,26.84643738,5.800259305,26.71599132
62,28.07840223,23.13877715,13.96602277,37.18349397,4.81632557,26.75868457,5.306720268,26.98119286
63,28.30144929,23.33077213,13.70456274,37.4934533,4.730922954,26.45725912,5.383286728,27.2188229
64,28.32985704,23.32889024,13.03537587,37.61770562,4.223825754,26.69561762,5.855415271,27.58231665
65,27.86443181,23.05092241,12.52160501,37.77306892,3.66746561,26.56106624,5.545131198,27.45862225
66,27.75821205,22.85575359,11.56491522,37.86697474,3.132998564,26.13094656,5.152304339,27.42611077
67,27.94018411,22.86041819,10.69819873,37.97617611,3.230573943,26.04842874,5.283029434,27.50421059
68,28.19270487,22.86041819,10.18060902,37.94474214,2.766762729,25.97204898,6.049036948,27.47175306
69,28.36243826,22.86041819,10.27428324,37.8820443,2.938799755,26.09888396,7.374372922,27.5174336
70,28.36243826,22.81063612,10.86067991,37.91336482,4.03705239,25.99564394,8.330647034,27.68020578
71,28.31878528,22.65059823,11.39169943,37.92820924,4.869424607,25.77101504,8.639440723,27.43937142
72,28.37299561,22.69050621,12.44006945,37.72629852,4.830953529,25.27015125,8.909633438,27.34268458
73,28.31463226,22.65059823,12.85733658,36.57897538,4.878432535,25.24749302,8.91385618,27.37483691
74,28.05035472,22.68995337,13.49448954,35.49472434,5.473695644,24.94986974,9.825407065,27.37483691
75,26.71035634,22.68995337,14.61675094,34.94440384,6.227089208,24.67974068,10.23559905,27.37483691
76,25.15297835,22.65059823,15.36738364,34.86606052,6.69217573,24.50529543,10.70127619,27.37483691
77,23.40907175,22.69050621,15.93797779,34.67607544,6.856742084,23.63365871,11.5752149,27.45285413
